text,label
sudah gak worthed lagi singgah semua terlalu mahal fasilitas minim bahkan untuk basuh badan habis main pantai air tidak alir harus pemda tempat lebih sering bina para dagang hatihati kalau ramai sekali ada copet aman barang harga,negative
bersih pasir pantai kurang,negative
tempat kurang awat dan kurang benah,negative
assik bisa bawa anabul main pasir pantai,positive
indah nan sejuk cocok buat yg lagi pacar wkwk,positive
lebih bagus kalo jalan baik cor seperti marina biar enak buat mancing,negative
tempat yg sangat indah,positive
akses jalan masih kurang pada pohon yang jadi ikon sudah mati,negative
pantai dengan beberapa fasilitas yg lumayan sedia kamar mandi mushola warung makan seafood tempat temu lahan parkir yg luas pokok murah riah,positive
buat sewa atv kalo memang bener unjung tidak ingin naik atv tolong jangan di paksa karna kita tidak tau kenapa dia tidak sewa atv sebut mungkin di karna kan low budget dana pas an dan ada hal yg lain perlu di belikan seperti oleh untuk orangorang yang di rumah untuk ongkos pulang jadi lebih cukup dari itu,negative
pantai bagus sihh tapi warung makan tidak worth it padahal cm beli pop mie di kasih tempat tapi pas di akhir mau bayar nyata tarik biaya sewa tempat yang turut saya tidak cukup murah next klo mau kesitu mending bawa jajan dari rumah,negative
untuk rombong tempat parkir luas banyak tempat yang teduh sambil hunting untuk foto akan asa syahdu saat sore hari dapet sun set,positive
murah riah untuk refresing anak di pantai marina apalagi ada hewan rusa anak tambah betah di pantai marina,positive
murah adem milir angin bisa camping juga banyak spot foto tempat yg cocok buat hunting atau dar habis senja sama yang kasih,positive
per tanggal mei 2021 saya kesana sudah tutup aparat jadi alih ke pantai tirang belah kondisi pantai tirangpun juga begitu akses jalan hanya motor dan rusak parah kecewa berat pantai tidak awat banyak sampah meski ada tiket 5rb tp belum awat,negative
ya pantai banyak kotoranya,negative
tempat parkir kurang,negative
kotor banget tak urus,negative
asik untuk bercengraman dg penyu,positive
sayang banyak pungli bayar masuk keluar masuk,negative
harus ada upaya dr pihak2 kait untuk benah tempat istirahat panjang pantai agar lebih enak lihat karena indah pantai karanghawu agak ganggu tambah jumlah tugas pantai dan menara awas sudah saat tambah,negative
sepi unjung hati hati rawan longsor tapi tantang buat komunitas sepeda motor,negative
pungli dimanamana harga parkir gak ngotak bayar tiket masuk gak kasih tiket untuk tukang parkir biadab,negative
teduh bagus dan ramai,positive
banyak malak lagi duduk duduk di batu di usir ama org dagang malas ribut di kampung org,negative
terlalu banyak parkir liar masa iya parkir kali di dalam kawasan alas ketua nya orang jadi parkir juga beda wilayah yg rusak citra objek wisata ini justru oknum warga sekitar sendiri udah syukur ada objek wisata malah di salah guna sesal pergi kesini saya harap pemda lebih sigap akan halhal kecil seperti ini karena yang rusak citra pantai carocok khusus kota painan itu justru oknum yg seperti ini bayangin masyarakat dari luar provinsi yg datang percuma capek2 maju wisata di painan kalau oknum seperti ini masih liar kalau mau dapat uang itu kerja ngak mintaminta dasar sampah masyarakat,negative
kelola pantai sadran payah tidak jaga lingkung yang belum nya asri dan indah malah rusak pandang dg lapak2 dagang yg sangat ganggu indah pantai mohon perhati dinas pariwisata gunung kidul,negative
pantai nya sih biasa aja air lut nya keruh biaya masuk 40 rb per orang masuk mahal sih bebas semua kecuali makan padahal gk ada yg istimewa sini masuk mahal,negative
kumuh kurang tertatajadi semrawut lihat nya,negative
kok sy gak lihat ada toilet umum ya,negative
selain pantai marina kota semarang milik pantai tirang yang tidak kalah indah dan tawan dengan pasir pantai yang warna hitam dengan ombak yang tenang jadi pantai tirang ramai kunjung apalagi saat sore untuk saksi sunset akses jalan cukup sempit dengan aspal yang sudah mulai kelupas,positive
seperti kurang awat,negative
tempat indah sekali apalagi kalau uda lihat ombak waoww bikin hati debar buat adrenalin brtambah,positive
