text,label
enggak bagus pelayanan rumah sakitnya enggak jelas mengasih info dokternya juga suka suka nya saja enggak datang berobatpun enggak sembuh enggak,positive
susah untuk hubungan cs nya harus lewat chat only mana lama juga dibalasny kalo yang penting susah harus tunggu dibalas chatnya,negative
pelayanan dari security kurang mengenakan saya semalam datang jam 18 30 untuk mengantar kan barang barang keperluan orang tua karena baru masuk rawat inap tadi sore hari jadi saya datang bersama ibu dan suami untuk mengantar pendamping nginap dan bawa,negative
tempat nya nyaman bidannya informatif makanannya enak pelayanan bidannya keren,negative
rumah sakit payah ini dokternya juga enggak jelas bayar mahal untuk cuma check jantung tidak menghasilkan apa ditanya solusinya bagaimana enggak tau ini terlalu komersil banget ditanya harga untuk check usg lab dsb masa enggak tau padahal makanan sehari di orang tua saya oper sana sini tiba diketok tinggi banget sampai jutaan dokter jantung juga enggak komunikatif enggak jelas banget kapok kesini biar rating yang berbicara padahal sudah 99 tahun berdiri pelayanan buruk banget maaf ya perbaiki pelayanan kalian,positive
sudah 1 jam lebih nomer antrian tidak jalan saya no 64 tapi diselak 5 pasien entah itu pasien nomer yang sudah terlewat atau bagaimana yang jelas tidak ada konfirmasi kalo diselak kalo kayak begini percuma pakai nomer antrian!!,negative
saya mengantar anak saya ke poli jasmine dengan biaya pribadi untuk dokter spesialis anaknya sangat ramah humble penjelasannya tidak menakutkan dan menenangkan !wajah_tersenyum_dengan_3_hati!!wajah_tersenyum_dengan_3_hati!!wajah_tersenyum_dengan_3_hati!!wajah_tersenyum_dengan_3_hati!,negative
alhamdulillah istri dan bayi saya sehat selamat lahirannya mskipun sc penangan bidanya juga memuaskan playanan nya sngat bagus ramah tapi dokternya sc nya ngaret sampai istri saya sudah lemas karena air ktubannya sudah pecah mungkin dokternya harus bljar mnghargai waktu agar tidak merugikan orang lain lagi trimakasih sblumnya,positive
rs parah ini pelayanan lambat penanganan lambat suster kurang ramah bayar pula enggak bisa pakai bpjs padahal rs pemerintah jangan berobat ke sini,negative
pelayanan nya baik dan ramah proses pendaftaran juga cepat,positive
proses pulangnya lumayan lama dokternya besok jam 9 katanya boleh pulang baru jam 14 saya telpon pihak asuransi tidak ada permintaan approval asuransi tidak ada apa apa,negative
pelayanannya sangat baik dokter dan perawatnya sangat baik dalam berkomunikasi dengan keluarga pasien menjelaskan secara detail mengenai penyakit yang sedang dialaminya,positive
pelayanan igd sangat buruk dokter jaga pagi sabtu 12 agustus 2023 tidak ramah bebicara tidak sopan memberikan informasi sakit yang buruk di depan pasien,negative
seharusnya untuk pemanggilan untuk pengambilan nomor antrian apotik tidak terlalu kencang pengeras suaranya dan harusnya saat berbicara dengan pasien tidak memakai pengeras suara karena yang menjelaskan obat menggunakan pengeras suara juga,negative
saat ini rs kelas sih dokter dokter spesialisnya cukup lengkap pelayanan perawat pun cukup baik meskipun untuk pasien bpjs hanya layanan apotiknya banyak dikeluhkan pasien karena lamanya waktu tunggu obat,positive
pelayanan dirumah sakit ini buruk masih di igd saja suster2 nya sangat tidak ramah dalam melayani pasien atau keluarga pasien songgong jutek dan cara menjawab keluarga pasien sangat tidak enak didengar dimana kita sedang menunggu yang sakit contoh kasus saya sebagai keluarga pasien bertanya ke suster apakah tidak ada tindakan lain selain di infus karena pasien lagi infeksi tangan minimal dikasi salep atau apa begitu sus suster atas nama pasien siapa? saya ohiya sebentar saya tanya anak nya saya lupa nama lengkap nya jawaban suster nya lah bagaimana sih memang mbak siapa nya? menurut saya jwbn itu sangat tidak pantas ditengah kegelisahan keluarga pasien sangat tidak sopan seakan berbicara dengan teman saya tidak pertama kali ke rs ini tetap saja pelayanan di igd nya buruk,negative
1 jam di ruangan mati 2 perawat tidak ramah 3 sudah pesan rontgen tapi malah menunggu lama di ruang perawat kalau sudah,negative
rumah sakit bersih aman nyaman pelayanan nya baik cepat tanggap,positive
semua suster nya pada ramah pelayanan nya bagus,negative
dokter polinya mayoritas sering lalai dalam waktu praktek sering datang telat praktek tolong pihak rumah sakit diperhatikan lagi untuk dokter dokter yang suka lalai waktu kasihan pasien yang sudaj menunggu lama karena banyak juga pasien rs simpangan rata rata usia manula,negative
pengalaman berobat rawat inap dengan dokter stefani yoelita sapa pada finasim pengalaman yang sangat luarbiasa beliau sangat ramah penuh perhatian empati sangat baik menjelaskan dari hal kecil sedetail mungkin sehingga saya tidak ada rasa,positive
bangunan doang dibesarin 2x pengalaman orang tua di igd pertama kasurnya robek basah bekas ompol dan basah ke pasien terkini tidak ada kasur cuma ada tempat tidurnya saja rumah sakit sebesar ini adakan anggaran kasur tambahan dan cadangan masa iya bangun 6 lantai bisa beli kasur enggak bisa,negative
saya dirawat di lantai 4 409 pelayanan dokter dan perawat sangat bagus dan penuh perhatian,positive
janji temu pukul 18 30 tiba di rumah sakit pukul 18 20 menunggu registrasi selama 40 menit dan akhirnya masuk ke ruang dokter setelah menunggu 15 menit lagi,positive
