text,label
bpjs leyeh leyeh remeh temeh non bpjs sat set sat set,positive
pelayanan ramah penanganan cepat suster dokter sama stap nya ramah2 tempat nya bersih yang terpenting makanan nya enak2 banget beda sama rs lain yang makanan nya identik yang tidak ada rasa tapi di rs mary makanan nya sekelas makanan resto pokoknya top banget lah buat rs mary !jempol_ke_atas!!jempol_ke_atas!!melipat_tangan!,negative
menyesal datang ke rs ini hanya karena dekat rumah saja pelayanan nya lama banget kurang kordinasi antar bagian periksa lab hasilnya lama tanya langsung ke orang yang ambil sample katanya 30 menit pas di tanya ke counter suster belum jadi malah bilang biasa nya hasil lab 1 jam mungkin rs baru kurang pengalaman jadi nya,negative
we cannot expect to much from this newly established and sih type hospital like this one what you get is what you pay,positive
kami keluarga bu eci teri terima kasih untuk ruangan pangrango atas pelayanannya terima kasih buat pak imam yang sudah bantu ibu saya yang struk semoga berkah,positive
alhamdulillah pernah dirawat disini pelayanan bagus susternya pada ramah dan setiap tindakan selalu cepat,negative
sangat memuaskan sampai tempat langsung ditindak lanjut,positive
perawatannya enak semua stafnya ramah toiletnya bersih,negative
pengalaman saya di rs ini sangat pilu dan menyedihkan karena almarhum ayah saya telah hilang setengah kesadaran nya tetapi malah di anggap gila tidak waras oleh perawat batak gendut item demi allah wallahi perkataan itu selalu membekas di pikiran saya ingat hukum timbal balik itu nyata dan ada,negative
rumah sakit ribet sudah 2x masuk igd tengah malam ditolak dengan berbagai alasan kalo masuk rumah sakit ini jangan lupa bawa kakak karena enggak bisa disusul besok pagi ribet pelayanan di igd bukan menangani pasien malahan meminta biaya tunai karena persyaratan tidak lengkap,negative
bagus dan prokes pelayanannya masih bagus seperti dulu dan susternya ramah tempatnya sedang renovasi perluasan lahan parkir mungkin penambahan klinik baru salam sehat selalu,positive
pelayanannya buruk penjaganya di depan jutek karena enggak mau antri bilang obat akhirnya pakai umum ternayata mahal banget enggak lagi deh,negative
bismillah mau mnyampaikan unek2 semoga sampai dan ada perubahan penanganan igd nya kurang responsif ala kadarnya saja bertugas mungkin yang,negative
pernah kecewa di rs ini dengan salah 1 dokter spog nya karena mengintimidasi saya ketika kembali cek up karena saya complain ke pihak bpjs mengapa banyak yang tidak tercover ternyata dari pihak bpjs menyebutkan bahwa itu semua tercover,negative
secara keseluruhan pelayanannya sangat baik,positive
baru pertama kali kesana bertanya sana sini dimana lobbynya atau informasi atau pendaftaran pasien kebetulan susah sekali mencari sekurity beberapa petugas yang memakai name tag enggak tau bagian apa ditanya kurang tau suruh mencari sekurity pas ketemu sekuritynya jawab sambil lari kalau lobby ada diatas ditanya dimana liftnya cuma bilang didalam bikin emosi untuk pelayanan pendaftaran dan selanjutnya lumayan cepat dan ramah masa petugas ber name tag enggak tau lobby atau pusat informasi,negative
sekarang rs tambah ramai tapi malah semrawut ya bpa harus nya online kan rehab medik pagi mulai jam 8 12 tapi ssh online kita suruh datang jam 8 buat apa juga online orang ya online kasih waktu max datang jam 10 kalo belum datang kuota di kasih orang ini datang bersm an jadi kita tunggu sampai 3 jam sudah tau rs agak kecil ruangan sampai penuh kita duduk berjam jam juga sakit dulu nyaman sekarang jadi begini,negative
beri 4 !bintang_medium_putih! dulu tapi masih ada 2 kali kunjungan kalau mau cabut gigi pakai bpjs dan bolak balik daftar online petugasnya ramah tempatnya bersih semoga jadi pelopor di rsud karena ada pakta integritas kunjungan berikutnya,positive
pelayanan yang sangat buruk suster dan kasir tidak ramah sangat tidak rekomen,negative
pengalaman terburuk di rumah sakit saya pasien demam berdarah di kamar 204 jadi kemarin dokter spesialis memberi,negative
sayang banget rumah sakit sebagus ini tapi menolak mentah mentah pasiennya langsung angkat tangan tanpa menangani apapun huhuhu,positive
untuk rawat inap alhamdulillah baik semoga ditingkatkan,positive
pelayanan cepat tanggap suster dan bidan ramah untuk ruang dafodil dan kamar bayi,negative
dokter spesialis anak dari andy tjaputra ramah sabar banget ngejelasin semuanya super detail !wajah_tersenyum_lebar_bermata_hati!!melipat_tangan_warna_kulit_cerah!dokter favorit!!!!! punya dokter kayak begini bikin kita senang enggak perlu buru buru bertanya dan kita bisa mendapatkan info yang super lengkap,negative
saya dan keluarga saya pernah dirawat dirsktm alhamdulilah memuaskan dari mulai security yang menyambut masuk ke igd pelayanan perawat dan dokternya cepat segera ditangani sampai diruang perawatan hingga pulang dengan sembuh trimakasih !melipat_tangan_warna_kulit_cerah!!jempol_ke_atas_warna_kulit_cerah!,positive
alhamdulillah pelayanan ugd cepat pelayanan rawat inap di ruang kristal juga cepat ruangan nya nyaman dokter ugd menjelaskan dengan jelas saya pilih rs ini setiap kali ada yang sakit,negative
pelayanannya bagus perawat ramah,positive
kalau untuk tmptnya saya kasih di bintang 5 karena selain rapi bersih serta ditata dengan sangat baik cuma kalau untuk pelayanan memang trgantung nasib2an kali ya kenapa kadang memang dapat yang kurang ramah baik mulai untuk pendaftaran bahkan,positive
surat keterangan kepesertaan tidak ada suka skep tertulis tidak ada yang menjelaskan alasan tidak bisa memberikan surat kepesertaan,negative
untuk lahiran pakai bpjs faskes klinik kita bisa enggak ya,positive
pengalaman nyata pelayanan buruk dan tidak sopan sikap arogan administrasi pelayanan yang lambat sehingga pasien harus melakukan diagnosa pengobatan pemeriksaan yang tidak perlu dan menghabiskan banyak biaya yang tidak perlu,negative
bagus banget rumah sakit rsud kembangan bersih dokter nya dan suster nya 4 jempol pokok nya buat dokter karen dan suster citra terima kasih pelayanan nya luar biasa,positive
no telpon salah tolong dibetulkan min,positive
sangat disayangkan sudah sering ke rs andhika tapi baru kali ini dapat pengalaman yang benar benar buruk di bagian farmasi hanya menunggu data anak saya di input untuk ke bagian kasir itu sekitar 1 1,negative
terimakasih personil rs andhika keluarga saya selalu cocok di sini,positive
sangat kecewa dengan hasil diagnosa dokter anak saya 4 hari di rawat cuma dibilang ini virus bu enggak dikasih terapi antibiotik antivirus cuma lewat cairan infusan sama paracetamol akhirnya hari ke 4 saya meminta pulang paksa karena enggak,negative
untuk pendaftaran nya lama sekali proses nya apalagi untuk pendaftaran obgyn lama di panggil nya enggak tau alur panggilan nya kemana dulu pendaftaran lama giliran cek dokter cepat banget tolong di tingkati lagi untuk pendaftaran nya,negative
perawat mengajak anak anak bermain bersama di ruang anak lantai 4 terima kasih atas pelayanannya yang baik terima kasih perawat dan dokter anak sangat baik dan sangat membantu dari mulai rontgen lab darah dl satset dan membantu !warna_kulit_cerah!,positive
saya atas nama ibu siti rohmaniyah saya merasakan senang bisa dirawat di rs alia hospital mulai dari igd icu sampai di ruangan perawatan lantai 4 semua pelayanan nya baik dokter perawat saya baik ramah dalam melayani saya terimakasih dokter sabrina dari yoga suster made suster novia suster ari,positive
saya berobat ke sini secara mandiri dari inhealth meminta rujukan dari klinik waktu itu dokternya cuma ada jadwal di hari rabu padahal saya datang hari selasa saya reservasi dulu untuk hari berikutnya waktu saya datang,negative
rumah sakit paling parah yang pernah gua temuin kalo mengomong sangat tidak ramah kalo sudah malam air di matiin jadi susah kalo buat ke toilet mau sholat subuh enggak bisa dan masih banyak yang enggak bagus pokoknya enggak rekomen mending cari rs yang lain,negative
sangat tepat waktu dalam pendaftaran dokter dan staf kerja semuanya ramah dan waktu pengambilan obat di apotek juga cepat pengalaman yang sangat nyaman berobat jalan di siloam karawaci,negative
terima kasih yang sebesar besarnya atas pelayanan terbaik dari para dokter dan perawat rs pik yang telah merawat putri saya di kamar 5118 pada tanggal 19 si di 21 februari 2024 kalian memang yang terbaik,positive
demiallah saya pasien sakit dbd di rs ini lalai pelayanan dokternya janji jam 5 sore akhirnya enggak ada janji jam 10 sampai sekarang jam 11 siang lewat enggak ada juga,negative
modern and good hospital sister company of rspad reccomended eyes polyclinic accept bpjs,positive
pelayanan sudah baik untuk bunda margonda dari nya juga sangat helpful,positive
perawat rizki perawat agung perawat sonia dan semuanyah sangat bagus akan pelayanan dari ayah saya yang masuk ke igd sampai pulang sangat puas akan pelananya terimakasih atas dedikasinya dalam hal kesehatan,positive
top muasin banget pelayanannya suka banget sama bu bidannya ramah ramah,negative
enggak tau jalan pikirannya pelayanan di rs ini tanggal 02 10 2023 anak saya masuk ugd mau observasi masuk doang enggak ada tindakan enggak di kasih obat di diamkan sampai setengah jam setelahku tanya harus rawat inap karena enggak bisa observasi,negative
petugas diruang bersalinnya baik dan sabar semua menghadapi pasien dan keluarga padahal belum pernah periksa disini tapi tetap diterima dengan baik dengan bidannya terima kasih banyak,positive
pelayanan sekolah lama masih menggunakan peta dan berjalan dari loket ke loket kemudian antreannya panjang tata letaknya berantakan ruang tunggu terlihat semrawut lantainya kotor ac nya tidak dingin semoga ke depannya bisa lebih ditingkatkan,negative
bangunan gedungnya bagus bersih ada playground mini untuk anak anak main!berkilau!,positive
walaupun rumah sakit ini sudah cukup tua fasilitasnya masih bagus dan terawat untuk pasien balita disediakan box kasur terpisah sehingga kasur pasien bisa digunakan oleh orang tua yang menunggu terima kasih,positive
pelayanan ramah susternya ramah ramah dokter ramah makanan nya enak enggak bikin malas makan makanan rumah sakit jadinya kamar bersih kamar mandi bersih sepertinya tidak ada ob soalnya perawatnya yang sapu2 ruangan dan agak telat sama administrasi klaim asuransi mungkin karena perawat terlalu sibuk overal puas,positive
pakai bpjs ambil nomer pendaftaran pagijam 6 ngantrinya panjang banget apalagi poli syaraf banyak banget yang berobat saran saya kalo poli syaraf datengnya jam setengah 5 soalnya ada yang sampai rela nginep dipolikliniknya loh sampai sebegitunya,negative
pelayanan nya bagus rumah bersalinnya hommie bidangnya bagus bidannya baik,positive
anak saya di rawat di ruang bidan lantai 7 pelayanannya sangat baik perawatnya sigap sekali anak saya di rawat selama 5 hari di rumah sakit ini,positive
husada terbaik selama ini selamat memasuki usia 100 tahun,positive
tengah malam saya ke ugd ini karena dari telinga ibu saya keluar darah dan terasa berdengung disuruh tim ugd untuk menunggu dulu karena tempatnya penuh oke saya tunggu,negative
selama saya di rawat di hcu pelayan an sangat baik perawat nya baik baik ramah dan sangat memuas kan,positive
