text,label
"baru kali ini berkunjung lagi kerumah sakit ini semenjak pandemi. prokes yang diterapkan disini sangat ketat. sejauh ini rs mitra menurut saya adalah rumah sakit yang baik yang ada di depok. pelayanan dan tenaga medisnya ramah, ruangan bersih …",positive
"dokter anak dokter igd komunikatif dan solutif .. suster perawat profesional untuk infusan staf laboratorium oke banget untuk menghadapi ketantruman anak karena takut di ambil darahnya, baru kali ini masuk ruangan baru crystal kamar 261 …",positive
"rs. cinta kasihtzu chi sangat bagus di dalam pelayanan terhadap pasien dan sistem administrasi pelayanan tidak sulit dan sangat mudah, terima kasih atas pelayananya dan kira tuhan selalu memberkati",positive
"pelayanannya memuaskan, tolong ajarkan saya sopan santun sama perawat gendut bernama tia. malas banget balik ke sini",positive
"untuk pelayanan oke, dari awal pintu depan security ramah terus ke pendaftaran juga enggak dah yang jutek, terus perawat sama dokter nya juga oke banget, untuk pemeriksaan dokter nya juga teliti banget enggak buru², petugas kasir, lab serta farmasi juga baik n ramah.. …",positive
op katarak di rsuk sangat optimal dari dokter maupun perawat memberikan masukan yang edukatif sukses terus buat tim dokter rsuk,positive
"saat adik saya dirujuk dari klinik anisa ke rsud ciracas sempat ragu karena rating gmaps nya jelek. tapi masyaallah pas pertama kali kesana di layani dengan baik. adik saya sudah lemes banget saat itu dan saya pinjam kursi roda. saat sudah di poli anak sama perawat nya langsung di suruh ke igd saat melihat kondisi adik saya. dokter dan perawat igd juga masyaallah sangat sigap dan tanggap melihat kondisi adik saya. dan malam nya adik saya akhir nya dapat kamar inap di lavender, untuk kamar dan kamar mandi nya bersih dan nyaman, perawat nya juga masyaallah sigap banget. alhamdulillah enggak merasakan pengalaman yang buruk di sini. semoga bisa lebih maju dan lebih baik lagi ya rsud ciracas",positive
"istri saya berniat konsultasi kedokter untuk melakukan cek mantoux, karena anak susah untuk makan, sebelumnya saya sudah mendapat surat pengantar dari dokter yang biasa saya kunjungi. karena pada hari itu saya tidak bisa mengantar, jadi …",negative
"dari program hamil sampai sekarang berhasil hamil sudah jalan 6 bulan bersama dari. ferdhy, pelayanannya semakin baik dan semua ramah dari security, admin kasir, perawat dan dokter nya. semakin berjaya dan semakin baik pelayanan kedepan nya !melipat_tangan!!hati_merah! …",positive
"nama fitria dirawat druang mekkah kamar 105, untuk pelayanannya bagus, bidan dan dokter ramah alhamdulillah baik baik",positive
"terkesan dengan keseriusan dalam upaya menjaga kualitas pelayanan. dengan datang langsung untuk meminta maaf dan berkomitmen meningkatkan pelayanan, terutama dalam hal pemberian makanan kepada pasien. …",negative
alhamdulillah .terima kasih atas pelayanannya selama istri saya di rawat di rsia makiyah..semoga allah selalu melimpahkan rejeki dan ksehatan untuk semua nya!wajah_tersenyum_lebar_bermata_hati!!wajah_tersenyum_lebar_bermata_hati!!wajah_tersenyum_lebar_bermata_hati!!wajah_tersenyum_lebar_bermata_hati!!tangan_diangkat_dan_dirapatkan_bersama_warna_kulit_cerah!!tangan_diangkat_dan_dirapatkan_bersama_warna_kulit_cerah!!tangan_diangkat_dan_dirapatkan_bersama_warna_kulit_cerah! …,positive
stafnya tidak ramah (terutama resepsionis yang sedang magang di lantai tiga). saya masih ingat wajah resepsionisnya yang menyebalkan. kamar mandinya kotor dan mereka masih menggunakan sistem manual yang membuang-buang waktu saya. …,negative
"pelayanan security dan dokternya sudah sangat baik .. tapi pelayanan , penerimaan resep obat nya sangat tidak ramah.( apotek ) saya urus pasien umum dan bpjs. kenapa saat pasien bpjs pelayanan sangat tak …",positive
pelayanannya baik. saya sudah biasa berobat disini. semoga tambah maju,positive
"pelayanan bagus, keramahan juga, terima kasih banyak atas kebaikannya",positive
"pelayanan bpjs buruk sekali dari tahun ke tahun tidak ada perubahan, sudah tau pasti banyak pasien yang antri tapi petugas registrasi saja cuma 2/4 yang melayani, luar biasa ya …",positive
"terimakasih kepada para ibu bidan,para perawat dan dari.mathew sudah memberikan pelayanan terbaik untuk istri saya ,semoga sehat selalu buat semua amin",positive
"bawa tante untuk konsultasi dengan dokter karena mau operasi, di meminta untuk test darah dl semua di rs tzu chi pik. pas mau di ambil hasil test darah bilangnya sudah di kirim ke email, padahal dari pihak kami tidak ada memberikan alamat …",negative
"dokternya tidak profesional. sn aisyahjauharoh dokter umum. jadwal praktiknya jam 9 pagi, klinik lain sudah buka antrean dan saya menunggu hampir 1 jam dokternya datang dan masih di jalan. …",positive
petugas ugd sigap. peduli pada kesehatan pasien daripada prosedur administratif sebelumnya. dan dokter sebastianus juga baik sekali !melipat_tangan_warna_kulit_cerah!terima kasih !melipat_tangan_warna_kulit_cerah! …,positive
"pelayanannya super lama!! sudah 2 kali kesini untuk tindakan suami saya buat masuk ke ranap lama banget 2 jam lebih!!! padahal urus kamar sudah dari pagi, harusnya bisa disiapkan dong!!! …",positive
"pelayanan terbaik yang saya temui waktu anak saya di rawat, paskah operasi usus buntu di ruang 813",positive
pelayanannya cepat dan ramah pokoknya enggak menyesal masuk rumah sakit duta indah,positive
"yang terhormat rs. simpangan depok, saya mencoba untuk berapa kali menguhungin rs ini tapi slow respon sekali ya, bagaimana ini jika ada yang urgent, tlng menjadi pertimbangan supaya bisa jadi lebih baik ke depannya. terima kasih",positive
