text,label
"Sudah gak worthed lagi disinggahi. Semuanya terlalu mahal, fasilitas minim. Bahkan untuk basuh badan sehabis main pantai air tidak mengalir. Seharusnya pemda setempat lebih sering membina para pedagangnya Hati-hati kalau ramai sekali ada copet, amankan barang berharga.",negative
Kebersihan pasir pantai kurang,negative
Tempat kurang terawat dan kurang pembenahan,negative
assik bisa bawa anabul bermain dipasir pantai,positive
Indah nan sejuk. Cocok buat yg lagi pacaran. Wkwk,positive
"Lebih bagus kalo jalan diperbaiki, dicor seperti marina biar enak buat mancing",negative
Tempat yg sangat indah,positive
"akses jalan masih kurang memadai, pohon yang menjadi ikon sudah mati",negative
"Pantai dengan beberapa fasilitas yg lumayan tersedia kamar mandi ,mushola, warung makan seafood ,tempat pertemuan ,lahan parkir yg luas pokoknya murah meriah",positive
"buat penyewa atv, kalo memang bener"" pengunjung tidak ingin menaiki atv tolong jangan di paksa.. karna kita tidak tau kenapa dia tidak menyewa atv tersebut.. mungkin di karna kan low budget (dana pas"" an) dan ada hal"" yg lain perlu di belikan seperti oleh"" untuk orang-orang yang di rumah, untuk ongkos pulang.. jadi lebih cukup dari itu",negative
Pantai bagus sihh tapi warung makan tidak worth it padahal cm beli pop mie di kasih tempat tapi pas di akhir mau bayar ternyata ditarik biaya sewa tempat yang menurut saya tidak cukup murah next klo mau kesitu mending bawa jajan dari rumah,negative
Untuk Rombongan tempat parkir Luas Banyak tempat yang teduh sambil hunting untuk berfoto. Akan Berasa syahdu saat sore hari dapet Sun Set.,positive
"Murah meriah untuk refresing anak"" di pantai marina apalagi ada hewan rusa anak"" tambah betah di pantai marina",positive
"Murah, adem, semilir angin, bisa camping juga, banyak spot foto. Tempat yg cocok buat hunting atau sekedar menghabiskan senja bersama yang terkasih.",positive
"Per tanggal 2 mei 2021 saya kesana sudah ditutup aparat, jadi beralih ke pantai tirang (sebelahnya). Kondisi pantai tirangpun juga begitu akses jalan hanya motor dan rusak parah, kecewa berat pantai tidak terawat banyak sampah. Meskipun ada tiket 5rb .. tp belum terawat",negative
Ya pantainya banyak kotoranya,negative
Tempat parkir kurang,negative
Kotor banget tak terurus,negative
Asik untuk bercengraman dg penyu,positive
"Sayang banyak punglinya, bayar masuk keluar masuk",negative
Harus ada upaya dr pihak2 terkait untuk membenahi tempat istirahat disepanjang pantai agar lebih enak dilihat karena indahnya pantai karanghawu agak terganggu. Menambah jumlah petugas pantai dan menara pengawas sudah saatnya ditambah.,negative
Sepi pengunjungnya hati hati rawan longsor tapi tantangan buat komunitas sepeda motor,negative
"Pungli Dimana-mana, harga parkir gak ngotak, bayar tiket masuk gak dikasih tiket... untuk tukang parkir biadab",negative
"Teduh, Bagus dan ramai",positive
"Banyak pemalak ,, Lagi duduk duduk di batu di usir ama org dagang,, Malas ribut di kampung org ,,",negative
"Terlalu Banyak parkir liar,, masa iya parkir 2 kali di dalam 1 kawasan,, alasannya ketua nya 2 orang jadi parkir juga berbeda wilayahnya,,, yg merusak citra objek wisata ini justru oknum warga sekitar sendiri,, udah syukur ada objek wisata,, malah di salah gunakan,, menyesal pergi kesini,, saya harap Pemda lebih sigap akan hal-hal kecil seperti ini,,, karena yang merusak citra pantai carocok terkhusus kota painan itu justru oknum yg seperti ini,,, bayangin masyarakat dari luar provinsi yg datang,, percuma capek2 memajukan wisata di Painan,, kalau oknum seperti ini masih berkeliaran.. ""kalau mau dapat uang itu kerja,, ngak minta-minta"" dasar sampah masyarakat.",negative
Pengelola pantai sadranan payah tidak menjaga lingkungan yang sebelum nya asri dan indah malah rusak pemandangan dg lapak2 pedagang yg sangat mengganggu keindahan pantai mohon perhatian dinas pariwisata gunung kidul,negative
Pantai nya sih Biasa aja Air lut nya keruh . Biaya masuk 40 rb per orang termasuk mahal sih bebas semua kecuali makan padahal gk ada yg istimewa disini. Termasuk mahal .,negative
Kumuh kurang tertata..jadi semrawut kelihatan nya,negative
Kok sy gak lihat ada toilet umum ya,negative
"Selain pantai Marina, Kota Semarang memiliki pantai Tirang yang tidak kalah indah dan menawan. Dengan pasir pantai yang berwarna hitam dengan ombak yang tenang, menjadikan pantai Tirang ramai dikunjungi apalagi saat sore untuk menyaksikan sunset. Akses jalannya cukup sempit dengan aspal yang sudah mulai terkelupas",positive
Seperti kurang terawat,negative
Tempatnya indah sekali.. Apalagi kalau uda lihat ombaknya. Waoww... Bikin hati berdebar membuat adrenalin brtambah..,positive
"Tidak seperti pantai Bali yg gratis hanya parkir 5rb, disini htm wilayah pantai ditarik 15rb per orang, kemahalan, kirain sudah byr htm bebas parkir ditarik parkir 10rb lagi, itupun agak jauh, dekat pantai bayar lagi. Htm mahal, tp tidak ada fasilitas toilet gratis dll. Adanya toilet berbayar dimiliki penduduk disana, kalau narik biaya toilet mbo ya toilet dibersihin, ini sudah byr, jorok, anak2 jd jijik gak mau ganti pakaian di toilet. Udah gitu mbah2 penjaga toilet ngomong kasar, bgomel2 minta uang toilet ke anak sy, pdhl baru keluar. Gak semua bisa bahasa Jawa mbah, dan berbicara lah yg baik dan sopan kepada pengunjung, apa karakter warga setempat kasar2 begitu? Pdhl orang Jogja terkenal halus. Yang paling bikin kesel dg HTM yg lumayan kenapa sampah berserakan sepanjang pantai? Mana petugas kebersihan? Uang retribusi buat apa? Pantai buatan Tuhan, gak perlu dibikin, uang retribusi harusnya bisa untuk fasilitas dan pemeliharaan kebersihan. Pengunjung jg mestinya jaga kebersihan, jangan buang sampah sembarangan. Buat Pemda rawat pantai yg kalian tarik retribusinya, jangan cuma makan uang tapi gak mau keluar biaya.",negative
Susah kl utk main kepantai harus sewa perahu,negative
Tempat yg bagus harus kita kunjungi,positive
Cocok untuk wisata bersama keluarga,positive
Tempat asik buat makan ikan,positive
Nyaman untuk bersantai bersama keluarga saat liburan,positive
Kalau ke pantai itu enaknya ya pagi atau sore.,positive
Banyak perempuan malam nya,negative
"Pantainya sekarang lebih bersih,fasilitas mendekati lengkap .Hari minggu ramai sekali.",positive
Pulau dewata.. selalu indah sepanjang mata memandang..,positive
Tempat menginap lumayan nyaman dan deket dengan pantai,positive
"Zonk, cukup sekali kemari, libur lebaran pengelolah hamya fokus pada pengutipan uang saja, penyediaan sarana tidak di perhatikan sewa terpal mahal, kamar mandi tidak ada malah dinlarang mandi, wc sumbat tai betebaran dimna mana",negative
Tempat wisata ini udah populer sejak lama.mantab dah pokoknya,positive
"Pantai yang kurang terurus., Sampah banyak dimana mana...",negative
"Memorable place, sayang pasirnya kotor banget karena orang2 buang sampah sembarangan",negative
Melepas penat dengan mebikmati sunset...,positive
"Pantai indah yang masih alami, tidak ada karang tajam. Air laut sangat jernih.",positive
"snorkeling ga recommended, airnya keruh dan terlalu ramai perahu",negative
Enaq buat santaii... Rileks,positive
"Pantai nya jelek, banyak jamet",negative
Pantai dgn udara sejuk pegunungan,positive
"Banyak pungli disekitar pantai, saat masuk area pantai sdh dikenakan 5k perorang, saat menuju pantai juga kena lagi 20k tiket masuk pantai, parkir kena lagi 20k, sewa gazebo kena 50k per2jam, tlg lah ini punglinya banyak banget udh keterlaluan sih kecewa banget dan gaakan mau kesitu lagi!!!!",negative
pantai di yogyakarta yang mempunyai ciri khas kuliner makanan laut yang banyak,positive
"perlu banyak pembenahan, terutama akses masuknya",negative
"Jorok, sampah nya bnyak",negative
"Pantai ini kurang terjaga kebersihannya dan terkesan kumuh. Sampah bertebaran, alangkah baiknya jika di tambah tempat sampah di titik-titik strategis. Penataan bangunan di sekitar jg kurang tertata dengan rapi, tempat parkir kendaraan roda empat tidak/kurang mencukupi jika di bandingkan dengan pantai matahari terbit. Mungkin dikarenakan berbenturan dengan parkiran villa dan hotel yang ada di sana.",negative
Kalau menurut saya sih kurang siip.,negative
"good view, banyak jajanan di jalanan sekitar pantai",positive
Ya.. untuk pantai di kota lumayan lah..,positive
"Pantai marina Makin kece..enak buat santai dan enak juga untuk mancing. Parkiran luas, spot untuk bersantai sangat luas, banyak jajanan di pinggir-pinggir, bersih juga. Buat sobat angler bisa nyoba mancing di sini, spotnya banyak sekali..selamat menikmati liburan anda di Marina Semarang.",positive
Kulineran murah meriah,positive
Kotor. Parkir mobil nambah 10rb Diluar tiket masuk,negative
Tempat bagus untuk wisata,positive
"Pantai yang tidak ada pasir yang menjorok layaknya pantai di selatan jawa, pun demikian pantai ini menghadap ke arah timur sehingga cocok untuk melihat sunset.. terdapat persewaan jetski dan kapal pancing apabila ingin liburan dengan aktifitas olahraga tiket masuk per hari ini 5000/orang sudah termasuk parkir roda 4",positive
Sangat miris melihat objek wisata pantai tidak dikelola dengan baik dan berakhir menjadi seperti TPA. Bahkan bisa dibilang cukup berbahaya bagi yang ingin berenang karena banyak sampah seperti batang pohon.,negative
Bagus. Syg tiket parkir tinggi,negative
Phuket lokal semarang,positive
"Sekedar sante disore hari ...,,tempat lumayan.",positive
Ramainya minta ampun dahh,negative
Tempat wisata pantai yg indah.,positive
"Pengelolaan parkir mobil ga jelas. Ada toko/warung yg melarang mobil d prkir di depan warung nya,pdahal memang d dwpan warung tsb d sediakan utk parkir pengunjung..kesal dong di suruh"" pindahin mobil",negative
"Lumayan lah,cukup untuk bersantai bersama keluarga",positive
"Pantainya kurang bagus, aksesnya juga lumayan curam serta terjal parkiran juga lumayan sulit dan sempit. Kalo kita kepantai ini harus ekstra menguras tenaga melewati anak tangga yang curam. Pasirnya juga sudah kotor banyak sampah bekas botol, plastik makanan hingga bakaran bekas kamping. Tidak ada petugas/warga yang membersihkan. Banyak batu-batuan yang menonjol dibibir pantai jadi air langsung surut spot pemandangan juga kurang menarik. Hanya pas sunset bisa melihat matahar terbenam pas dibalik bukit. Biaya masuk gratis parkir kendaraan 10rb sampai 15rb untuk mobil, untuk warung dan penyedia sewa tikar sudah tersedia",negative
Pantai yang indah dan sejuk,positive
Pantainya kotor tidak terawat Sangat digemari para pemancing,negative
Destinasi selalu kesini jika membawa tamu dari luar kota,positive
Bulan desember kotor. Sampah dimana mana. Belum ada kesadaran buang sampah pada tempatnya,negative
Sayangnya gak bisa buat berenang.,negative
"Cemoroneee byuhhhhhhhhh...... Uakeeeeeehhhhheeeeeee..... Iju ijuuuuu byanget..... Neng pinggir pantai sisan. Sayange gak isoh pakpung banyu laut. Ning asine tetep podo ding. Wedinya juga buanyak banget.... Parkire luassssss... Mau naik jeep juga bisa. Mau naik trail monggo Mau seluncuran di pasir, bisa Mau ngulukkan layangan jauh ke langit monggo.... Arep layangan nogo sosro sabuk inten, opo layangan jrangkong yo monggo.... Udara segar semilir angin laut. Woow.....",positive
"Saya baru saja kehilangan helm disini hati"" banyak maling berkeliaran",negative
Pantainya tidak seindah namanya.mengecewakan,negative
"Pantainya biasa saja, tapi punglinya luar biasa. Masuk gerbang 1 bayar, gerbang 2 bayar, masuk daerah pantai bayar, lalu parkir bayar lagi. Geser sedikit sudah ganti nama pantai dan harus bayar lagi, hadeuh...",negative
Panas. Sampah tolong dibersihkan.,negative
Tidak baik banyak punglinya,negative
Tempatnya sejuk banyak pohon,positive
Salah satu aset wisata kota manado,positive
Parkiran nya menjebak dan harga parkir nya terlalu tinggi 2x lipat dari harga standar.,negative
Hutan mangrove sangatlah indah,positive
kurang recommend kalau untuk bawa anak karena pantai kurang bersih tetapi banyak kolam renang untuk anak2 di dekat pantainya,negative
Sejuk. Adem. Tersedia toilet daan musholla,positive
Bagus .. lebih dikembangkan lagi.. wisata airnya..,positive
Tak kubayangkan ternyata Indonesia sangat indah,positive
"Tempat rekreasi murah meriah untuk melepas penat sejenak, suasana pantai, angin laut, suara deru ombak, little trip dengan kapal laut, dear mini zoo",positive
Terlalu bnyak bayar parkir,negative
"Gersang, pantainya kotor, biaya masuk/orang cukup mahal, tidak ada fasilitas parkir kendaraan gratis bagi mobil pribadi.",negative
Banyak biaya untuk menikmati fasilitas. Tidak terbuka di depan mengenai harga yang harus di bayarkan,negative
