text,label
star saja,negative
pkokya puas banget belanja di java elektronikasli 100 walaupun agak lama pngrimanyadan kurirya sangat ramahtop banget deh,positive
bareng cepat sampenya packing rapi tv kecil pas buat dkamar moga awet,negative
mantap gambar jernih kualitas bagus kirim cepat cuman kurir lex id yang ini agak judes sombong beda sama kurir lex id yang langgan saya,positive
pngiriman cepat thnks lazada,positive
readi enggak sist warna apaapa saja ini orisinal atau kau yang mudah rusak gan,negative
kirim cepat barang sesuai dengan yang pes cuma untuk pakai voucher hooxnya saja yang belum bisa walau sudah verifikasi by email,positive
kirim super cepat barang original,negative
brangkas tidak bisa pakai,negative
barang bagus kirim super cepat cuma hari langsung sampai,positive
recommended seller,positive
jaring wifinya tidak fungsi dengan baik padahal saya guna wifi yang sama di handphone saya jringannya cukup baik tapi kalau di tv ini enggak bisa muat sama sekali,negative
tunggu barang nya,negative
saya sudah dua kali ini beli laptop asus di lazada dan duadua nya mati yang ini baru pakai belum ada minggu sudah mati saja jadi harus bawa ke service center nya yang pertama telah 2bulan mati bawa ke sc dan inap lama 2bulan baru pulang bagus sih komp saya ganti mesin dalam hal ini asus cukup bertanggungjawab tapi 2bulan loh enggak kerja dua bulan ya telah dua kali ini saya rasa bukan suatu ketidaksengajaan deh entah produk asus nya atau lazada nya,negative
kirim aman gambar bagus terima kasih lazada dan cooca sukses dan makin maju ke depan aminmelipattanganmelipattanganmelipattangan,positive
barang sudah terima dengan packing yang rapi dan fungsi jalan normal,positive
tanya jawab oke waktu order batal bagaimana sih enggak profesional,negative
barang sudah saya terima sudah saya pakai buat dipasangin harddisk internal bekas laptop saya yang enggak pakai packing sangat aman rapi dan kirim pun lebih cepat dari hari yang kira,positive
tv saya terima dalam kondisi lengkap saya coba hidup dan cari salur tapi telah tengah jam saya nyala gambar hilang hanya ada suara saya sudah coba untuk lihat atur pada remote tetap tidak bisa malah terkadang suara juga hilang nyala tapi layar tidak ada gambar dan suara kecewa sekali mana harus saya tukar,negative
barang bagus sampai dengan aman mulus produk cocok buat anak kostan tv gampang di bawa pindah seller komunikatif good seller ikedo harga jangkau dapat voucher packing lapis karton buble wrap tebal dalam ada sterofoam jne untuk saat ini oke gan harus di tempel sticker pecah belah supaya lebih oke,positive
