text,label
tidak ada bonus gratis konsultasi yang ada pembayaran bukan nya membantu tapi membanting tidak ada rasa tolong nya semua pakai uang sama saja bohong sudah dapat gaji harap lagi uang dari rakyat tidak mampu lebih unistal dari pada di save tidak ada gunanya juga karena harus membayar minimal nya aplikasi dan dokter nya pelit dengan kesehatan bagi rakyat kecil yang tak mampu,NEGATIVE
setiap mesan oobat selalu dibatalkan,NEGATIVE
sejauh ini pelayanan bagus dan akurat dalam mendiagnosis penyakit,POSITIVE
chat saja berbayar autouninstal,NEGATIVE
duh kok saya enggak bisa masuk ya padahal registrasi sudah selesai di katakan saya bisa masuk mengunakan email tersebut tapi kenapa setiap mau masuk selalu bilang email belum terverifikasi atau user belum terverifikasi ? tolong di perbaiki dong dok,NEGATIVE
dokternya ramah,POSITIVE
mantap,NEGATIVE
bermasalah pas lagi konseling,NEGATIVE
sangat baik dan ramah dokter nya,POSITIVE
saya merasa di persulit oleh aplikasi ini ketika saya ingin menebus obat yang di resepkan dokter karena saya tida ada uang saya tunda dulu beberapa hari pas saya ingin nebus malah enggak bisa aneh sumpah,NEGATIVE
kok enggak bisa daftar ya? tulisannya kesalahan jaringan terus,NEGATIVE
puas dengan jawaban dokternya trmksh,POSITIVE
respon cepat enak untuk konsultasi,POSITIVE
selamat malam dok,POSITIVE
bintang 1 saja kasihan sangat bosok sekali auto report chuack wkwkwk banned,NEGATIVE
keren banget sangat helpful,POSITIVE
selalu puas dengan halo dok cepat aplikasinya enggak ribet sat set trimkaasih,POSITIVE
good aplication,POSITIVE
bagus membantu orang untuk berobat lewat rumah,POSITIVE
canggih dan cepat,POSITIVE
cukup bagus untuk konsultasi online ketika sakit,POSITIVE
tidak bisa upload foto katany koneksi internet bermasalah padahal saya pakai wifi,NEGATIVE
pelayanan cepat respon,POSITIVE
kau tau tidak ?? setelah payment apk logouymt dan uangku hilang tanpa chat dokter wkwkwk najer,NEGATIVE
artikel artikel nya bagus untuk menambah pengetahuan bagi siapa saja yang ingin sehat semua nya termasuk sehat organ2 vital nya,POSITIVE
lama responya chat payaah padahal memilih aplikasi online biar lebih cepat konsultasi ini malah lama,NEGATIVE
drivernya enggak bisa jaga privasi,NEGATIVE
pembayaran lewat dana kok enggak ada ya kak,NEGATIVE
coba dulu dok kasih 4bintang terima kasih,POSITIVE
chat sebentar saja bayar ya kak?,NEGATIVE
di suruh menunggu pas sudah lama menunggu tapi dokternya enggak ada,NEGATIVE
sudah di bayar baru sai hello sama dokternya lngsng deh apknya tidak bisa di gunakan walau sudah di uninstal dan download lagi tetap enggak bisa mau nipu kah,NEGATIVE
suka salah kirim tolong diperbaiki sistem kurirnya,NEGATIVE
sangat baik sangat membantu perkembangkan,POSITIVE
bagus terang sekali,POSITIVE
kurang ramah admin halodoknya enggak tau perasaan orang,NEGATIVE
buruk percakapan telat balas langsung di akhiri saja,NEGATIVE
cepat layanannya dan dokternya sabar,POSITIVE
dokumen harus2 lengkap cap basah dari dokter nama dokter resep obat padahal periksa di klinik kampung yang jelas cuman ada kwitansi dan stempel dan petugas pun diminta ya cuman dikasih itu reimburstment lewat pihak ketiga cuman malah ribet rugi,NEGATIVE
mau tanya dok ini pinggang belakang kok merasa pegal terus gejala apa ya mohon info,POSITIVE
dokter banyak yang scam sudah bayar dan dokter tidak merespon selama 30 menit maka percakapan otomatis ditutup untung doang buat mereka semoga jadi penyakit uang yang meraka dapat,NEGATIVE
update rating saya beli obat disini karena percaya barang orisinal awalnya tidak puas karena obatnya packing lama pembelian kedua sudah cepat sampai malahan sebelum jadwal barang sampai sukses selalu halodoc,POSITIVE
pesan obat sering dibatalkan sepihak oleh kurir alhasil uang kita lenyap,NEGATIVE
doktrrnya lama gagal konsultasi tapi dana enggak refund,NEGATIVE
sumpah ya dokter disini ramah banget padahal gua banyak bertanya pas lagi konsultasi haha thanks ya dok!!,POSITIVE
mudah cepat berpengalaman dokternya,POSITIVE
konsultasi sangat detail dokter yang berkompeten,POSITIVE
dokter ramah dan bahasa mudah dipahami,POSITIVE
keputusan kami di bila ada sahabat membantu dengan sukarela kabulkan permohonan saya mengucapkan terima kasih bila tidak dikabulkan itu tidak akan rugi kan orang karena hanya sekadar menolong bagi sesama umat terima kasih,NEGATIVE
artis kak?,NEGATIVE
belum beres sudah otomatis berakhir bagaimana sih padahal masih fast respon,NEGATIVE
